search_query,province_search,timestamp,place_id,name,formatted_address,rating,user_ratings_total,lat,lng,business_status,types
pole sport,Teruel,2026-06-11 16:40:24.968957,ChIJI7Z55j90Xg0RWUQHvXd8Cxg,Padel Teruel,"Cam. el Polvorín, 1, 44003 Teruel, Spain",4.7,104.0,40.3544134,-1.1074372,OPERATIONAL,"establishment, gym, health, point_of_interest, spa, store"
pole sport,Teruel,2026-06-11 16:40:24.968961,ChIJVyzHF8lxEg0RzRMuiLdc0yo,White PoleStudio,"C. Clara Campoamor, 104, 41702 Dos Hermanas, Sevilla, Spain",5.0,12.0,37.27601,-5.92024,OPERATIONAL,"establishment, point_of_interest"
pole sport,Teruel,2026-06-11 16:40:24.968965,ChIJB6JSr41vEg0RytdqY3IbRVU,Pole Dance Fitness Jungle,"C. Duque de Rivas, 11, 41005 Sevilla, Spain",5.0,71.0,37.3824831,-5.962991199999999,OPERATIONAL,"establishment, gym, health, point_of_interest"
pole sport,Teruel,2026-06-11 16:40:24.968971,ChIJ5eik8qVzXg0RrXqlCAU8kZI,URBAN DANCE TERRA,"C. Brasil, 3, 44002 Teruel, Spain",4.8,16.0,40.3305952,-1.1097678,OPERATIONAL,"establishment, point_of_interest"
pole sport,Teruel,2026-06-11 16:40:24.968977,ChIJl-umJL9uEg0Rbzkw5Zf8QYQ,Pole Dance Fitness Sevilla,"C. Andrés Bernáldez, 10, 41005 Sevilla, Spain",4.8,55.0,37.3863407,-5.9641405,OPERATIONAL,"establishment, gym, health, point_of_interest"
pole sport,Teruel,2026-06-11 16:40:24.968986,ChIJE8szvqBzXg0RZpwZAGMSRVQ,Club de Tenis Teruel,"C. Barrio del Carmen, 2, 44001 Teruel, Spain",4.2,50.0,40.3448699,-1.1147988,OPERATIONAL,"establishment, point_of_interest"
pole fitness studio,Teruel,2026-06-11 16:40:26.569028,ChIJMSRcgLdzXg0RQ7LOL6I0Bf0,Dance & Fitness Mudéjar,"Bajada del cementerio, S/N, 44003 Teruel, Spain",4.7,11.0,40.35070959999999,-1.1070424,OPERATIONAL,"establishment, point_of_interest"
pole fitness studio,Teruel,2026-06-11 16:40:26.569043,ChIJ1UQybP8nQg0RnUgpXqDjVOc,Central Pole,"C. de Juan Pascual de Mena, 26, Latina, 28011 Madrid, Spain",4.9,114.0,40.4081363,-3.741267499999999,OPERATIONAL,"establishment, point_of_interest"
pole fitness studio,Teruel,2026-06-11 16:40:26.569051,ChIJJ8rD9JnGyIARflT9Q-L6d6s,Pole Fitness Studio,"4265 S Arville St Ste A, Las Vegas, NV 89103, USA",4.8,357.0,36.1126259,-115.1997383,OPERATIONAL,"establishment, gym, health, point_of_interest, school"
pole fitness studio,Teruel,2026-06-11 16:40:26.569056,ChIJ7RvO0z5zXg0R0yui0yUcbE8,Gomnatura,"Ctra. Alcañiz, 44003 Teruel, Spain",4.8,16.0,40.3530235,-1.108174,OPERATIONAL,"establishment, gym, health, point_of_interest"
