search_query,province_search,timestamp,place_id,name,formatted_address,rating,user_ratings_total,lat,lng,business_status,types,website,phone,horario,google_maps_url,lat_precisa,lng_precisa
pole dance,Cuenca,2026-06-11 16:31:41.317250,ChIJFRuxKHgZzZERiwd4Jb-4e2Q,Samsara Pole & Yoga,"Fernandina 1-20, Cuenca, Ecuador",4.9,56.0,-2.8942449,-79.0216868,OPERATIONAL,"establishment, point_of_interest",,097 928 9700,lunes: 7:00–21:00 | martes: 7:00–21:00 | miércoles: 7:00–21:00 | jueves: 8:00–21:00 | viernes: 7:00–19:30 | sábado: 8:30–12:00 | domingo: Cerrado,https://maps.google.com/?cid=7240583957035091851,-2.8942449,
pole dance,Cuenca,2026-06-11 16:31:41.317255,ChIJHXP2PqOipBIRjvunL1YNM-g,Pole Dance Factory,"Bajos, Pl. de les Dones del, 36, numero 4, Gràcia, 08012 Barcelona, Spain",4.8,153.0,41.4047641,2.1536466,OPERATIONAL,"establishment, health, point_of_interest",https://poledancefactory.es/,657 19 21 20,"lunes: 17:00–21:00 | martes: 17:55–21:00 | miércoles: 11:30–13:00, 16:15–21:00 | jueves: 11:30–14:00, 16:15–21:00 | viernes: 17:55–19:15 | sábado: 11:00–14:00 | domingo: Cerrado",https://maps.google.com/?cid=16731731704429411214,41.4047641,
pole dance,Cuenca,2026-06-11 16:31:41.317260,ChIJP79shgIPYw0RLUxVJJ-oR58,Power Pole Dance,"Av. de la Ventas, 16, 03191 Pilar de la Horadada, Alicante, Spain",5.0,36.0,37.8568193,-0.7908061,OPERATIONAL,"establishment, gym, health, point_of_interest",http://www.powerpoledance.es/,677 83 40 69,lunes: 15:00–22:00 | martes: 15:00–22:00 | miércoles: 15:00–22:00 | jueves: 15:00–22:00 | viernes: 15:00–22:00 | sábado: Cerrado | domingo: Cerrado,https://maps.google.com/?cid=11477327576839834669,37.8568193,
pole dance,Cuenca,2026-06-11 16:31:41.317264,ChIJOwAS2S5nXQ0RckQ43pi5zO8,Ria pi ta centro de arte,"Travesia De Fernando Fernan Gomez, 10, bajo, 16004 Cuenca, Spain",5.0,8.0,40.0676597,-2.1356877,OPERATIONAL,"establishment, point_of_interest",,638 25 26 44,"lunes: 17:00–22:00 | martes: 17:00–22:00 | miércoles: 17:00–22:00 | jueves: 11:00–13:30, 17:00–22:00 | viernes: 20:00–2:00 | sábado: 20:00–2:00 | domingo: Cerrado",https://maps.google.com/?cid=17279389936528147570,40.0676597,
pole dance studio,Cuenca,2026-06-11 16:31:42.628518,ChIJh_QCPtMjzZER8Mb3ssOs290,Auris Pole Dance Studio,"Calle del Batan, y y Española, 010202 Cuenca, Ecuador",5.0,36.0,-2.89693,-79.02059659999999,OPERATIONAL,"establishment, gym, health, point_of_interest",https://crosshero.site/auris-pole-dance-studio-2,098 452 1543,"lunes: 7:00–9:00, 15:00–21:00 | martes: 8:00–11:00, 15:30–21:00 | miércoles: 7:00–11:00, 16:00–21:00 | jueves: 8:00–12:00, 15:30–21:00 | viernes: 7:00–11:00, 17:00–20:00 | sábado: 9:00–12:00 | domingo: Cerrado",https://maps.google.com/?cid=15986561258802890480,-2.89693,
pole dance studio,Cuenca,2026-06-11 16:31:42.628531,ChIJJX75AkJnXQ0RrpSAda9fG4s,Alegría y Javier - Danza y Pilates,"Pl. la Morquera, 3, 16004 Cuenca, Spain",5.0,52.0,40.06551,-2.13273,OPERATIONAL,"clothing_store, establishment, gym, health, point_of_interest, store",http://www.danzacuenca.com/,601 10 43 58,"lunes: 9:30–10:30, 16:00–22:00 | martes: 9:30–12:00, 16:00–22:00 | miércoles: 9:30–12:00, 16:00–22:00 | jueves: 9:30–11:30, 16:00–22:00 | viernes: 9:30–12:00, 16:00–20:00 | sábado: Cerrado | domingo: Cerrado",https://maps.google.com/?cid=10023710602838447278,40.06551,
pole dance studio,Cuenca,2026-06-11 16:31:42.628537,ChIJHXP2PqOipBIRjvunL1YNM-g,Pole Dance Factory,"Bajos, Pl. de les Dones del, 36, numero 4, Gràcia, 08012 Barcelona, Spain",4.8,153.0,41.4047641,2.1536466,OPERATIONAL,"establishment, health, point_of_interest",https://poledancefactory.es/,657 19 21 20,"lunes: 17:00–21:00 | martes: 17:55–21:00 | miércoles: 11:30–13:00, 16:15–21:00 | jueves: 11:30–14:00, 16:15–21:00 | viernes: 17:55–19:15 | sábado: 11:00–14:00 | domingo: Cerrado",https://maps.google.com/?cid=16731731704429411214,41.4047641,
pole dance studio,Cuenca,2026-06-11 16:31:42.628542,ChIJFRuxKHgZzZERiwd4Jb-4e2Q,Samsara Pole & Yoga,"Fernandina 1-20, Cuenca, Ecuador",4.9,56.0,-2.8942449,-79.0216868,OPERATIONAL,"establishment, point_of_interest",,097 928 9700,lunes: 7:00–21:00 | martes: 7:00–21:00 | miércoles: 7:00–21:00 | jueves: 8:00–21:00 | viernes: 7:00–19:30 | sábado: 8:30–12:00 | domingo: Cerrado,https://maps.google.com/?cid=7240583957035091851,-2.8942449,
pole dance studio,Cuenca,2026-06-11 16:31:42.628548,ChIJa8IE7mvCKCoR4LqeVau3kG0,Pole Dance Studio Blue Heaven Valencia,"C. de Torres, 15, L'Olivereta, 46018 Valencia, Spain",4.8,70.0,39.4730459,-0.398802,OPERATIONAL,"establishment, point_of_interest",https://poledanceheaven.es/,613 05 57 88,lunes: 10:00–21:00 | martes: 10:00–21:00 | miércoles: 10:00–21:00 | jueves: 10:00–21:00 | viernes: 10:00–21:00 | sábado: 10:00–17:00 | domingo: 10:00–17:00,https://maps.google.com/?cid=7895012093284236000,39.4730459,
pole dance studio,Cuenca,2026-06-11 16:31:42.628554,ChIJN8Kf7qNdXQ0RIzoIpopwwXg,Dansei Escuela de Danza y Gimnasia Rítmica,"C. Mecanicos, 23, 16003 Cuenca, Spain",5.0,68.0,40.0543352,-2.1468154,OPERATIONAL,"establishment, gym, health, point_of_interest",https://www.dansei.es/,693 63 51 80,lunes: 9:00–20:30 | martes: 9:00–21:00 | miércoles: 9:00–20:30 | jueves: 9:00–21:00 | viernes: 9:00–20:30 | sábado: Cerrado | domingo: Cerrado,https://maps.google.com/?cid=8701359695849863715,40.0543352,
pole dance studio,Cuenca,2026-06-11 16:31:42.628560,ChIJ-6CVKIVdXQ0Rzue6T18BuFI,Espacio Pachamama,"Av. de los Alfares, 70, 16002 Cuenca, Spain",4.9,220.0,40.0764673,-2.1538632,OPERATIONAL,"establishment, point_of_interest, store",http://www.espaciopachamama.com/,722 80 18 07,"lunes: 10:00–14:00, 17:00–23:00 | martes: 10:00–14:00, 17:00–23:00 | miércoles: 10:00–14:00, 17:00–23:00 | jueves: 10:00–14:00, 17:00–23:00 | viernes: 10:00–14:00, 17:00–23:00 | sábado: 10:00–14:00 | domingo: Cerrado",https://maps.google.com/?cid=5960515615696021454,40.0764673,
pole dance studio,Cuenca,2026-06-11 16:31:42.628566,ChIJP79shgIPYw0RLUxVJJ-oR58,Power Pole Dance,"Av. de la Ventas, 16, 03191 Pilar de la Horadada, Alicante, Spain",5.0,36.0,37.8568193,-0.7908061,OPERATIONAL,"establishment, gym, health, point_of_interest",http://www.powerpoledance.es/,677 83 40 69,lunes: 15:00–22:00 | martes: 15:00–22:00 | miércoles: 15:00–22:00 | jueves: 15:00–22:00 | viernes: 15:00–22:00 | sábado: Cerrado | domingo: Cerrado,https://maps.google.com/?cid=11477327576839834669,37.8568193,
